id,name,address,city,country,created_at,typology,customer_id
1,Vulputate Risus PC,Ap #124-1954 Adipiscing St.,Santa Inês,Belgium,2023-03-24 04:52:21,Florist,11
2,Dui Fusce Associates,"Ap #768-3045 Sed, Street",Patarrá,Poland,2023-08-22 03:45:35,Other,19
3,Nec Ante Ltd,4587 Tincidunt Avenue,Gaspé,Costa Rica,2022-11-17 10:32:56,FoodTruck,15
4,At Auctor Limited,1962 Lorem Avenue,Siquirres,Nigeria,2023-12-15 01:13:46,Hotel,18
5,Ac Turpis Limited,"Ap #844-1075 A, Av.",Mazenzele,Ireland,2023-04-13 11:58:34,Restaurant,34
6,Mauris Nulla Integer Foundation,Ap #621-7833 Ut Avenue,Móstoles,India,2023-01-27 11:50:22,FoodTruck,35
7,Mauris Morbi PC,"P.O. Box 475, 7719 Cursus St.",Sapele,Mexico,2022-10-27 02:11:01,Service,8
8,In LLP,6182 Consequat Rd.,Oaxaca,Indonesia,2022-04-19 01:53:18,Other,22
9,Magna Corporation,Ap #356-9872 Mus. Av.,Dutse,Belgium,2023-12-04 07:25:49,Service,34
10,At Libero Limited,Ap #822-4123 Nec Av.,Białystok,India,2023-10-02 11:58:22,Other,40
11,Lectus Rutrum Corporation,287-7966 In Rd.,Hoogeveen,Brazil,2022-11-08 03:52:10,Florist,40
12,Eu Nibh LLC,Ap #207-7061 Purus Av.,João Pessoa,Australia,2022-08-20 10:27:04,Florist,4
13,At LLP,Ap #981-5468 Id St.,Chimbote,France,2022-08-05 09:38:03,FoodTruck,41
14,In Magna Phasellus Ltd,"P.O. Box 189, 8776 Cursus Road",Ödemiş,India,2023-02-16 03:29:06,Restaurant,48
15,Interdum Ligula PC,845-2200 Eros. St.,Allentown,Belgium,2023-10-12 04:26:02,Press,28
16,Cum Sociis Natoque PC,698-5310 Sagittis. St.,Shepparton,Costa Rica,2022-09-30 09:59:02,Hotel,20
17,Adipiscing Corp.,3529 Donec Avenue,San Pablo,Singapore,2023-04-23 04:59:49,Florist,17
18,Sapien Incorporated,7787 Mi Ave,Brussel,South Africa,2022-05-23 03:47:43,FoodTruck,31
19,Magnis Dis Inc.,185-6396 Et Av.,Florencia,Netherlands,2022-06-02 07:59:07,Press,23
20,Metus Aliquam Associates,Ap #600-4448 Magna. St.,Steendorp,Singapore,2023-01-03 12:52:05,Service,16
21,Pede Suspendisse Company,"P.O. Box 917, 8477 Et Avenue",Cork,Mexico,2022-06-27 11:53:36,Press,17
22,Tincidunt Nunc Industries,Ap #636-7983 Enim Rd.,Jaén,Netherlands,2023-11-11 11:06:57,Press,15
23,Non LLP,Ap #430-8283 Sapien Street,Rankweil,Italy,2023-03-08 10:26:09,Hotel,31
24,Mollis Dui LLP,Ap #779-1314 Mus. Rd.,Baardegem,United Kingdom,2022-06-20 08:39:38,FoodTruck,42
25,Nulla Magna Ltd,Ap #953-3178 A Ave,Pohang,Colombia,2022-07-08 08:34:47,Restaurant,24
26,Ullamcorper Duis At Limited,Ap #144-5035 Ipsum. Av.,Uribia,Nigeria,2022-10-16 12:33:04,Beauty,37
27,Duis Sit Incorporated,Ap #927-6782 Lacus. Rd.,Sembawang,South Korea,2023-06-24 12:17:25,Florist,39
28,Et Magna Incorporated,649-4506 Dolor. St.,Srinagar,Canada,2022-07-29 04:05:03,Hotel,22
29,Sed Ltd,329-5885 Nibh. Ave,Hebei,South Africa,2023-04-29 01:57:52,Restaurant,37
30,Cursus Nunc Mauris Industries,"Ap #205-6730 Montes, Rd.",San Juan del Río,Austria,2023-03-26 07:06:54,Florist,27
31,Neque Tellus PC,5995 Mauris St.,Canberra,Brazil,2022-05-12 10:41:57,Beauty,41
32,Augue Ut Lacus Institute,Ap #352-2278 Fermentum Street,Seletar,Vietnam,2023-01-17 10:20:59,Press,17
33,Hendrerit Id Foundation,"P.O. Box 646, 6434 Amet, Road",Olivar,Norway,2022-07-17 01:43:35,Beauty,18
34,Et Netus Corporation,3508 Euismod Street,Port Blair,Austria,2023-04-23 11:30:12,FoodTruck,25
35,Ut Associates,460-3077 Tortor. Av.,Ribeirão Preto,Indonesia,2023-12-04 11:26:21,Press,47
36,Et Malesuada Company,Ap #817-7392 Nec Av.,Antalya,Singapore,2023-09-29 04:42:51,Other,4
37,Sit Industries,Ap #939-7352 Et Av.,Belfast,China,2023-03-31 03:48:27,Hotel,1
38,A Tortor Industries,228-2100 Ac Rd.,Altmünster,Nigeria,2023-12-06 07:00:02,Restaurant,9
39,Nisl Elementum Foundation,894-4998 Netus Av.,Canoas,South Korea,2022-09-22 02:28:45,Restaurant,1
40,Lacus Etiam Inc.,"P.O. Box 974, 8900 Nunc, St.",Nagar,Ukraine,2022-06-13 01:38:36,Other,26
41,Nec LLC,4017 Sed Road,Chungju,Spain,2023-02-01 11:41:19,Other,23
42,Volutpat Nunc Sit Institute,"Ap #142-5475 Cursus, St.",Zamora de Hidalgo,Brazil,2022-09-16 02:25:22,Press,3
43,Mollis Industries,411-5082 Amet Rd.,Darwin,Colombia,2023-12-17 07:13:27,Service,6
44,Velit LLC,Ap #598-2547 In Rd.,Floreffe,Chile,2023-12-15 10:55:37,Press,27
45,Ut Institute,Ap #854-8238 Vitae Street,Multan,Vietnam,2023-04-30 11:31:11,Beauty,11
46,Integer Mollis Integer Foundation,"P.O. Box 806, 735 Eu Rd.",Tortel,South Africa,2023-05-20 01:49:27,Service,44
47,Lorem Foundation,689-251 In Av.,Zamość,Peru,2023-09-04 02:04:42,Other,11
48,Aliquet Foundation,Ap #927-6400 At Av.,Tibet,United Kingdom,2022-06-10 10:07:24,FoodTruck,34
49,Id Ante Nunc LLC,480-5234 Natoque Ave,Flekkefjord,Netherlands,2022-11-05 11:02:23,Press,15
50,Ac Company,8052 Cum Street,Lauw,France,2024-01-28 10:43:00,Other,43
51,Mauris Aliquam PC,"978-4890 Aliquam, Ave",Rosenheim,Germany,2024-01-21 11:08:45,Other,46
52,Volutpat Nunc PC,"P.O. Box 156, 3296 Sed Street",Kohima,Italy,2023-10-13 08:36:19,Beauty,13
53,Sed Incorporated,Ap #627-8495 Aliquam Road,Kavaratti,India,2023-11-05 09:40:54,FoodTruck,18
54,Nisi Magna Ltd,"P.O. Box 155, 5397 Imperdiet Ave",Oaxaca,Philippines,2022-09-20 01:10:32,Service,49
55,Aliquam Corp.,803-8267 Imperdiet Ave,Morelia,Brazil,2022-07-11 08:59:50,Service,37
56,Sit Amet Ornare Company,Ap #486-9555 Odio St.,Frederikstad,Netherlands,2023-10-28 07:17:16,Press,31
57,Sapien Nunc Pulvinar Institute,Ap #203-9131 Aliquet Avenue,Guadalupe,Netherlands,2024-02-25 03:38:37,Restaurant,2
58,Tortor Dictum Eu Industries,674-2192 Nulla St.,Fahler,Germany,2023-06-23 03:27:05,Service,15
59,Aliquam Vulputate LLC,"Ap #221-5035 Elementum, Rd.",Irapuato,Brazil,2023-08-01 11:55:06,Beauty,29
60,Eleifend Cras Institute,"6862 Tincidunt, Rd.",Dublin,Indonesia,2022-08-02 05:48:41,Florist,32
61,Elementum Sem Corp.,"P.O. Box 850, 4730 Quis Avenue",Chandigarh,Ukraine,2022-06-02 03:15:33,Service,49
62,Semper Erat In Institute,Ap #428-3415 Lacus Road,Puerto Carreño,United States,2024-03-24 02:36:58,Hotel,31
63,Hendrerit Consectetuer PC,Ap #628-3480 Integer Avenue,Việt Trì,Austria,2022-12-16 01:58:59,Restaurant,12
64,Aliquet Magna LLP,Ap #718-9112 Ligula. Street,Belfast,Peru,2023-11-26 07:04:23,Press,45
65,Mauris Sit Amet Associates,Ap #397-6046 Fusce Street,Ghanche,South Africa,2023-08-14 02:29:39,Beauty,47
66,Mauris A Institute,839-3744 Nullam Avenue,Olsztyn,Ireland,2022-09-30 06:07:35,Press,1
67,Nullam Vitae Corp.,680-4657 Donec St.,Lagos,Austria,2023-12-19 07:37:13,Beauty,48
68,Lorem Vehicula Inc.,810-4532 Sapien Street,Chiclayo,Peru,2023-11-13 11:40:22,Press,10
69,Felis Purus Institute,975-9184 Ipsum. Av.,Singkawang,Netherlands,2022-10-17 04:40:23,Beauty,44
70,Semper Institute,"P.O. Box 451, 7344 Turpis Ave",Piła,Belgium,2024-02-17 10:47:27,Press,29
71,Libero Lacus Corp.,Ap #355-7187 Sapien. Rd.,Kirkcaldy,United Kingdom,2024-01-16 02:25:58,Press,32
72,Dis Parturient Montes PC,5552 Vulputate Rd.,Shanxi,China,2023-07-16 04:32:40,Florist,19
73,Arcu Vestibulum Ltd,666-4076 Erat Street,Gorzów Wielkopolski,Ireland,2024-01-21 07:18:24,Beauty,20
74,Dolor Nonummy Ac Inc.,"583-3427 Ac, Avenue",Ziarat,Poland,2022-12-20 11:20:39,Press,50
75,Erat Neque Foundation,596-1207 A St.,Elbistan,New Zealand,2022-06-01 12:35:13,Hotel,21
76,Sed Corp.,610-8995 Quis St.,Wonju,United Kingdom,2022-08-07 08:18:53,Service,44
77,At Sem Molestie Consulting,Ap #139-3060 Sed Ave,Valenzuela,Ukraine,2022-08-31 01:25:30,FoodTruck,49
78,Ac Orci Ut PC,Ap #322-7707 Ipsum Road,Canlaon,Indonesia,2023-03-16 04:04:07,Other,43
79,Pede Ultrices Corporation,Ap #459-7576 Leo Avenue,Chimbote,Australia,2023-06-01 09:14:28,FoodTruck,42
80,Erat Industries,976-4028 Imperdiet Avenue,Zlatoust,Netherlands,2022-12-08 06:55:14,Hotel,36
81,Suspendisse Dui Associates,Ap #246-6940 Tristique St.,Alençon,Spain,2023-11-13 11:25:03,FoodTruck,13
82,Blandit At Nisi Inc.,"P.O. Box 539, 9657 Sed St.",Gore,Brazil,2023-01-28 01:13:22,Florist,24
83,Iaculis Aliquet Diam Company,201-6042 Vehicula Avenue,Sousa,Belgium,2023-06-21 11:34:38,Hotel,6
84,Quis LLP,7837 Sollicitudin Ave,Glasgow,India,2023-07-18 10:43:50,Restaurant,43
85,Ultrices Posuere Cubilia Corp.,505-191 Torquent Rd.,Abbeville,Ireland,2022-10-30 03:03:16,Hotel,1
86,Nec Diam Corp.,"P.O. Box 560, 2569 Duis Street",Tczew,India,2024-01-03 12:37:16,Service,25
87,Luctus Ut Ltd,Ap #924-9827 Sodales Av.,Maryborough,Belgium,2023-11-14 02:29:12,Press,46
88,Aliquam Eros Turpis Institute,Ap #533-3564 Eget Road,Épernay,Nigeria,2022-10-14 09:34:12,Beauty,17
89,Vulputate Lacus Incorporated,Ap #885-4676 Primis Avenue,San Francisco,United States,2022-12-27 09:14:34,Beauty,27
90,Libero Est LLC,Ap #930-1953 Cubilia Road,Bydgoszcz,Nigeria,2023-04-07 08:08:01,FoodTruck,26
91,Dignissim Lacus Foundation,120-4773 Facilisis. St.,Dutse,Germany,2023-07-27 09:38:06,Other,42
92,Tempus Mauris Ltd,Ap #179-4089 Pharetra. Rd.,Mỹ Tho,France,2023-07-01 07:23:00,Florist,48
93,In Mi Institute,707-3480 Fringilla Ave,Pskov,Australia,2022-05-21 02:03:29,Service,15
94,Quam Incorporated,283-6136 Sed Av.,Khoái Châu,United States,2024-02-14 10:46:30,Hotel,6
95,Nullam Suscipit Est PC,Ap #859-7227 Penatibus Street,Lagos,Sweden,2023-05-15 06:21:29,Restaurant,7
96,Molestie Dapibus Ligula Foundation,Ap #533-548 Commodo Ave,Huntly,China,2022-09-18 09:45:57,Hotel,46
97,Sem Ut Cursus Corp.,9686 Rutrum St.,Sungei Kadut,France,2022-10-23 05:12:41,FoodTruck,37
98,Magna Suspendisse Tristique PC,"P.O. Box 238, 8766 Enim. Ave",Buenaventura,Norway,2024-03-18 09:07:42,Beauty,27
